id,text,name,scale,zipcodes,code
110459-communes-couvertes-par-un-papi,Communes couvertes par un PAPI,Communes couvertes par un PAPI,Ad-hoc,,communes_papi
110410-communes-de-laube-de-moins-de-10000-habitants,Communes de l'Aube de moins de 10.000 habitants,Communes de l'Aube de moins de 10.000 habitants,Ad-hoc,,-10.000_AUBE
110456-communes-de-moins-de-10000-habitants,Communes de moins de 10.000 habitants,Communes de moins de 10.000 habitants,Ad-hoc,,-10000habs
110412-communes-de-moins-de-20000-habitants,Communes de moins de 20.000 habitants,Communes de moins de 20.000 habitants,Ad-hoc,,-20.000habs
110371-communes-de-moins-de-3-000-habitants-ayant-un-site-patrimonial-remarquable-en-pays-de-la-loire,Communes de moins de 3 000 habitants ayant un site patrimonial remarquable en Pays de la Loire,Communes de moins de 3 000 habitants ayant un site patrimonial remarquable en Pays de la Loire,Ad-hoc,,PDL-3000/site
110390-communes-de-moins-de-3500-habitants,Communes de moins de 3.500 habitants,Communes de moins de 3.500 habitants,Ad-hoc,,COM-3500
110407-communes-de-moins-de-3500-habitants-et-epci-de-moins-de-15000-habitants,Communes de moins de 3.500 habitants et EPCI de moins de 15.000 habitants,Communes de moins de 3.500 habitants et EPCI de moins de 15.000 habitants,Ad-hoc,,-3500 et -15.000
109788-communes-des-parcs-naturels-marins,Communes des Parcs naturels marins,Communes des Parcs naturels marins,Ad-hoc,,PNM
108997-communes-des-quartiers-prioritaires-de-la-politique-de-la-ville,Communes des quartiers prioritaires de la politique de la ville,Communes des quartiers prioritaires de la politique de la ville,Ad-hoc,,QPV
109771-communes-du-vaucluse-inferieures-a-10000-habitants,Communes du Vaucluse inférieures à 10000 habitants,Communes du Vaucluse inférieures à 10000 habitants,Ad-hoc,,VAU10000
109772-communes-du-vaucluse-inferieures-a-15000-habitants,Communes du Vaucluse inférieures à 15000 habitants,Communes du Vaucluse inférieures à 15000 habitants,Ad-hoc,,VAU15000
109769-communes-du-vaucluse-inferieures-a-2500-habitants,Communes du Vaucluse inférieures à 2500 habitants,Communes du Vaucluse inférieures à 2500 habitants,Ad-hoc,,VAU2500
109770-communes-du-vaucluse-inferieures-a-5000-habitants,Communes du Vaucluse inférieures à 5000 habitants,Communes du Vaucluse inférieures à 5000 habitants,Ad-hoc,,VAU5000
110386-communes-eligibles-a-la-detr-2022,Communes éligibles à la DETR 2022,Communes éligibles à la DETR 2022,Ad-hoc,,DETR2022
110454-communes-eligibles-a-la-detr-oise-departement,Communes éligibles à la DETR Oise (Département),Communes éligibles à la DETR Oise (Département),Ad-hoc,,DETR-OISE_22/23
110382-communes-eligibles-a-la-dotation-politique-de-la-ville-dpv-2022,Communes éligibles à la Dotation Politique de la Ville (DPV) 2022,Communes éligibles à la Dotation Politique de la Ville (DPV) 2022,Ad-hoc,,DPV2022
110455-communes_epci_trait_de_cote,Communes_EPCI_trait_de_cote,Communes_EPCI_trait_de_cote,Ad-hoc,,trait_de_cote
110458-communes_epci_trait_de_cote_regions_departements,Communes_EPCI_trait_de_cote_régions_départements,Communes_EPCI_trait_de_cote_régions_départements,Ad-hoc,,TC_D_R
110411-communes-hors-massif,Communes hors massif,Communes hors massif,Ad-hoc,,CHM
109022-communes-littorales,Communes littorales,Communes littorales,Ad-hoc,,LIT
109052-communes-littorales-de-la-manche-et-de-latlantique,Communes littorales de la Manche et de l'Atlantique,Communes littorales de la Manche et de l'Atlantique,Ad-hoc,,MANCHE+ATL
109050-communes-littorales-de-la-manche-mer-du-nord,Communes littorales de la Manche - Mer du Nord,Communes littorales de la Manche - Mer du Nord,Ad-hoc,,MANCHE
109051-communes-littorales-de-latlantique,Communes littorales de l’Atlantique,Communes littorales de l’Atlantique,Ad-hoc,,ATL
109023-communes-littorales-de-mediterranee,Communes littorales de Méditerranée,Communes littorales de Méditerranée,Ad-hoc,,MED
109786-communes-littorales-de-vendee,Communes littorales de Vendée,Communes littorales de Vendée,Ad-hoc,,LITVEN
109789-communes-metropolitaines-eligibles-au-fonds-tourisme-durable,Communes métropolitaines éligibles au Fonds tourisme durable,Communes métropolitaines éligibles au Fonds tourisme durable,Ad-hoc,,CMFTD
110370-communes-peu-denses-et-tres-peu-denses,Communes peu denses et très peu denses,Communes peu denses et très peu denses,Ad-hoc,,COMPDTPD
109773-communes-rurales-du-vaucluse,Communes rurales du Vaucluse,Communes rurales du Vaucluse,Ad-hoc,,VAURUR
109790-corse-guadeloupe-guyane-martinique-mayotte-la-reunion,"Corse, Guadeloupe, Guyane, Martinique, Mayotte, La Réunion","Corse, Guadeloupe, Guyane, Martinique, Mayotte, La Réunion",Ad-hoc,,CGGMMR
109720-corse-parc-naturel-regional,CORSE (Parc naturel régional),CORSE (Parc naturel régional),Ad-hoc,,CORSE PNR
